timestamp,density,num_cars,spawn_prob,min_gap,actual_vehicle_count,target_vehicle_count
1769251246.5680466,MEDIUM,,,,2,6
1769251247.5692725,MEDIUM,,,,2,6
1769251248.5772104,MEDIUM,,,,2,6
1769251249.5836308,MEDIUM,,,,2,6
1769251250.583772,MEDIUM,,,,2,6
1769251251.605454,MEDIUM,,,,2,6
1769251252.6306145,MEDIUM,,,,2,6
1769251253.6550999,MEDIUM,,,,2,6
1769251254.655894,MEDIUM,,,,2,6
1769251255.6820097,MEDIUM,,,,2,6
1769251256.6837144,MEDIUM,,,,2,6
1769251257.6852837,MEDIUM,,,,2,6
1769251258.6876178,MEDIUM,,,,2,6
1769251259.7124436,MEDIUM,,,,2,6
1769251260.734468,MEDIUM,,,,2,6
1769251261.7398427,MEDIUM,,,,2,6
1769251262.7472682,MEDIUM,,,,2,6
1769251263.7731001,MEDIUM,,,,2,6
1769251264.797438,MEDIUM,,,,2,6
1769251265.8017204,MEDIUM,,,,2,6
1769251266.8235996,MEDIUM,,,,2,6
1769251267.8447347,MEDIUM,,,,2,6
1769251268.8685007,MEDIUM,,,,2,6
1769251269.8899834,MEDIUM,,,,2,6
1769251270.9043527,MEDIUM,,,,2,6
1769251271.9076498,MEDIUM,,,,2,6
1769251272.9148438,MEDIUM,,,,2,6
1769251273.9218886,MEDIUM,,,,2,6
1769251274.94645,MEDIUM,,,,2,6
1769251275.951401,MEDIUM,,,,2,6
1769251276.9533117,MEDIUM,,,,2,6
1769251277.9551332,MEDIUM,,,,2,6
1769251278.9564323,MEDIUM,,,,2,6
1769251279.9599042,MEDIUM,,,,2,6
1769251280.9608467,MEDIUM,,,,2,6
1769251281.962191,MEDIUM,,,,2,6
1769251282.9796672,MEDIUM,,,,2,6
1769251284.0022855,MEDIUM,,,,2,6
1769251285.0087113,MEDIUM,,,,2,6
1769251286.0090842,MEDIUM,,,,2,6
1769251287.0347667,MEDIUM,,,,2,6
1769251288.03951,MEDIUM,,,,2,6
1769251289.0458868,MEDIUM,,,,2,6
1769251290.0498052,MEDIUM,,,,2,6
1769251291.050572,MEDIUM,,,,2,6
1769251292.0511982,MEDIUM,,,,2,6
1769251293.1105509,MEDIUM,,,,2,6
1769251294.117548,MEDIUM,,,,2,6
1769251295.1194823,MEDIUM,,,,2,6
1769251296.1227648,MEDIUM,,,,2,6
1769251297.1441703,MEDIUM,,,,2,6
1769251298.1467452,MEDIUM,,,,2,6
